"Year","subnation","ISO","Age_group","Case_Sero","Naive_pop_all_age_year_sum","Pop_all_age_year_sum","Reference","Study_type"
"06/2003_07/2005","4_divisions","BGD","00-05",2,23628186.8189364,23628186.8189364,"M. Jahangir Hossain et al","alone"
"06/2003_07/2005","4_divisions","BGD","06-10",4,19232494.128854,19232494.128854,"M. Jahangir Hossain et al","alone"
"06/2003_07/2005","4_divisions","BGD","11-15",3,18680052.8479167,18680052.8479167,"M. Jahangir Hossain et al","alone"
"06/2003_07/2005","4_divisions","BGD","16-20",4,17759333.8017376,17759333.8017376,"M. Jahangir Hossain et al","alone"
"06/2003_07/2005","4_divisions","BGD","21-40",5,53036688.126167,53036688.126167,"M. Jahangir Hossain et al","alone"
"06/2003_07/2005","4_divisions","BGD","41-99",2,33155431.7749809,33155431.7749809,"M. Jahangir Hossain et al","alone"
"07/2010_12/2013","Cambodia_2010_2013","KHM","00-00",1,1245443.75,1219598.81666667,"Paul F Horwood et al","alone"
"07/2010_12/2013","Cambodia_2010_2013","KHM","01-05",119,5766120,5497312,"Paul F Horwood et al","alone"
"07/2010_12/2013","Cambodia_2010_2013","KHM","06-10",85,5151258,5048075,"Paul F Horwood et al","alone"
"07/2010_12/2013","Cambodia_2010_2013","KHM","11-15",30,5342681,5260134.6,"Paul F Horwood et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","00-00",12,250593.389324367,210576.298415276,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","01-01",36,250166.326873492,189097.902631067,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","02-02",86,240072.672308123,160388.225338426,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","03-03",120,233106.694939698,127277.736642104,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","04-04",100,229121.330260699,98947.6836587589,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","05-05",107,227969.498857418,75191.0074322799,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","06-06",102,229392.116176322,50264.2054309326,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","07-07",74,233130.142382463,33991.2478721802,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","08-08",59,239596.493948849,19623.4643519112,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","09-09",34,248868.101741413,4619.09244958957,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","10-10",31,260461.915645562,100,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","11-11",23,272278.905082503,15312.853173711,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","12-12",15,282892.115030951,100,"Ye Xufang et al","alone"
"04/2006_11/2006","Guizhou_2006","CHN","13-13",17,298554.008083206,100,"Ye Xufang et al","alone"
